2024-05-02 12:16:45 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:45 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:45 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:45 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:45 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:45 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:45 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:45 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:46 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:46 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:46 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:47 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:47 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:47 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:47 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:47 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:47 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:47 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:47 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:47 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:47 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:47 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:47 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:47 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:47 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:47 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:47 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:47 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:47 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:47 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:47 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:47 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:47 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:48 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:48 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:48 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:48 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:48 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:48 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelFamilyType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameterValue
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelEnsembleType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Model
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameterValue
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelStructureType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.BooleanParameter
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterDistributionType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameter
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.CategoricalParameter
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Parameter
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelGroupType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.MlTaskType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyGroupType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.DependencyType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.Metric
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.IntegerParameter
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.FloatParameterRange
2024-05-02 12:16:48 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-02 12:16:48 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-02 12:16:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-02 12:16:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 23 JPA repository interfaces.
2024-05-02 12:16:48 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-02 12:16:48 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-02 12:16:48 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2024-05-02 12:16:48 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterType
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ModelLimited
2024-05-02 12:16:48 [main] INFO  o.h.e.c.i.m.AuditMetadataGenerator - Adding properties for entity: ai.turintech.modelcatalog.entity.ParameterTypeDefinition
